GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US78338,78338,ZCTA5 78338,12,10,7,6,7,6,5,7,50833,49564,-,**,-,**,-,**
8600000US78339,78339,ZCTA5 78339,202,64,153,47,80,42,49,44,39688,27485,45625,27663,60625,29312,-,**
8600000US78340,78340,ZCTA5 78340,199,53,125,37,92,33,74,34,50625,24514,60625,16732,58750,36250,36250,19323
8600000US78341,78341,ZCTA5 78341,904,141,589,113,340,104,315,101,30699,2988,38578,11016,39828,12140,14539,7118
8600000US78342,78342,ZCTA5 78342,139,72,109,64,36,35,30,30,41406,1551,41362,4276,-,**,-,**
8600000US78343,78343,ZCTA5 78343,1507,125,1054,97,751,107,453,109,44621,7767,65931,8742,74150,6741,19850,15850
8600000US78344,78344,ZCTA5 78344,148,45,121,45,80,39,27,30,53750,34802,61125,43540,84583,76804,-,**
8600000US78349,78349,ZCTA5 78349,190,63,126,50,97,50,64,54,28478,26612,41364,11082,37708,21101,13452,1623
8600000US78351,78351,ZCTA5 78351,142,44,115,41,83,36,27,24,35227,15878,36705,10149,38295,16258,-,**
8600000US78352,78352,ZCTA5 78352,75,54,62,50,40,42,13,22,30739,11560,-,**,-,**,-,**
8600000US78353,78353,ZCTA5 78353,135,55,70,36,49,28,65,43,20852,15219,53214,43035,72750,49126,17697,12850
8600000US78355,78355,ZCTA5 78355,1964,225,1457,183,810,125,507,136,25954,4242,30270,7130,58158,6485,12614,4133
8600000US78357,78357,ZCTA5 78357,946,157,726,108,444,96,220,120,44846,14149,57895,11342,64038,18635,42601,19344
8600000US78358,78358,ZCTA5 78358,293,89,134,55,92,37,159,68,38750,15095,39706,10860,38824,6006,20573,18208
8600000US78359,78359,ZCTA5 78359,656,56,487,59,272,48,169,41,47586,3579,58750,11569,67500,6661,21750,8149
8600000US78361,78361,ZCTA5 78361,1611,192,1214,139,812,134,397,105,35461,9444,42675,3735,52708,15613,15477,1591
8600000US78362,78362,ZCTA5 78362,3448,159,2622,172,1765,167,826,156,59530,4230,60912,3053,73344,9614,37797,9600
8600000US78363,78363,ZCTA5 78363,10283,388,6454,386,4194,309,3829,427,40917,2989,50711,5552,65981,6207,22686,7709
8600000US78368,78368,ZCTA5 78368,3201,213,2278,174,1488,206,923,177,40791,3402,42212,5272,62500,12778,20383,3270
8600000US78369,78369,ZCTA5 78369,125,39,103,39,82,37,22,15,-,**,35625,31760,36250,27752,10417,4207
8600000US78370,78370,ZCTA5 78370,1692,158,1371,161,972,155,321,94,52466,6257,56354,6539,65526,12461,47417,14574
8600000US78371,78371,ZCTA5 78371,127,48,95,41,61,31,32,24,54375,25507,53625,17585,61250,28980,-,**
8600000US78372,78372,ZCTA5 78372,1882,217,1413,234,1092,206,469,147,51000,20478,65187,7245,73333,17631,23210,2983
8600000US78373,78373,ZCTA5 78373,1885,186,1130,138,878,155,755,194,50231,12195,63354,20051,64878,25603,29181,19124
8600000US78374,78374,ZCTA5 78374,6151,226,4778,205,3781,240,1373,228,60091,4635,69381,8015,79272,7104,42596,9276
8600000US78375,78375,ZCTA5 78375,1007,163,725,118,486,95,282,104,34505,6065,37690,6891,43854,12863,11500,5514
8600000US78376,78376,ZCTA5 78376,260,77,232,79,174,78,28,20,33558,13697,34674,24778,33152,14470,9000,5156
8600000US78377,78377,ZCTA5 78377,1417,141,947,113,597,98,470,98,48953,9106,55996,5191,64938,30534,18846,7238
8600000US78379,78379,ZCTA5 78379,493,97,372,77,319,80,121,48,59886,13374,68750,18898,82083,19746,25987,5819
8600000US78380,78380,ZCTA5 78380,7478,296,5746,251,3576,320,1732,308,48631,5701,55326,7219,68466,7445,22267,4964
8600000US78382,78382,ZCTA5 78382,8130,419,5556,368,4921,371,2574,345,47461,6573,60584,7418,65811,9038,26573,3231
8600000US78383,78383,ZCTA5 78383,1445,245,1068,207,968,194,377,141,53837,5170,61902,16729,64444,26315,34926,26031
8600000US78384,78384,ZCTA5 78384,1919,227,1247,201,753,174,672,193,23506,7610,35592,14307,59728,14571,16776,6538
8600000US78385,78385,ZCTA5 78385,132,58,82,39,41,27,50,35,23500,9523,42917,17831,43854,26482,18889,8553
8600000US78387,78387,ZCTA5 78387,3105,302,2435,223,1701,202,670,193,53546,4652,60112,8668,69583,13633,21196,2867
8600000US78389,78389,ZCTA5 78389,511,83,382,76,270,73,129,53,37287,12955,44125,11592,50833,8497,33958,23310
8600000US78390,78390,ZCTA5 78390,1849,169,1401,136,895,132,448,135,43309,11135,53173,7975,63750,14591,20234,6342
8600000US78391,78391,ZCTA5 78391,93,33,77,33,58,29,16,14,46042,12325,47153,17512,51000,46440,-,**
8600000US78393,78393,ZCTA5 78393,805,102,598,96,471,90,207,74,58839,12574,69839,4980,71738,6542,36513,14189
8600000US78401,78401,ZCTA5 78401,1833,178,572,143,309,105,1261,165,24817,2680,33819,9060,39453,28980,22605,2406
8600000US78402,78402,ZCTA5 78402,206,58,81,42,81,42,125,51,70750,16462,71875,15457,71875,15457,61875,29248
8600000US78404,78404,ZCTA5 78404,6872,340,4144,299,2595,247,2728,326,41705,5154,44481,5527,67236,10653,35427,8269
8600000US78405,78405,ZCTA5 78405,5327,287,3722,299,1789,249,1605,225,30111,4127,34750,4664,41784,3707,16474,3160
8600000US78406,78406,ZCTA5 78406,304,74,232,75,207,68,72,44,53141,16716,57813,11208,60688,11527,-,**
8600000US78407,78407,ZCTA5 78407,1185,159,785,120,417,88,400,126,37198,10833,32371,11624,45298,20759,50417,30921
8600000US78408,78408,ZCTA5 78408,4254,195,2919,238,1560,218,1335,209,33563,4078,40908,5026,50600,6542,20259,5006
8600000US78409,78409,ZCTA5 78409,993,94,672,85,394,79,321,92,51495,4495,61574,10469,72750,9651,37005,7233
8600000US78410,78410,ZCTA5 78410,9226,313,7088,361,5076,328,2138,299,65701,4477,77003,7439,91297,4866,39868,13302
8600000US78411,78411,ZCTA5 78411,10303,226,6859,308,4038,323,3444,312,50439,5650,59878,5294,78152,7621,28221,4099
8600000US78412,78412,ZCTA5 78412,14805,335,8732,466,5624,380,6073,474,47901,2819,56951,3561,73012,4299,30169,2858
8600000US78413,78413,ZCTA5 78413,14988,360,10204,408,7643,443,4784,391,68953,2721,82330,4079,94181,5566,38141,3226
8600000US78414,78414,ZCTA5 78414,13490,322,9527,346,7407,304,3963,304,82430,3120,96267,3126,104519,4012,50400,3744
8600000US78415,78415,ZCTA5 78415,13583,378,10025,427,5969,409,3558,367,41221,2002,46423,4723,63961,5827,25202,4316
8600000US78416,78416,ZCTA5 78416,4956,256,3881,297,2243,260,1075,207,35152,5232,40550,6476,48614,4199,15679,2020
8600000US78417,78417,ZCTA5 78417,1359,84,1005,82,618,98,354,76,46197,5606,50750,3789,53712,3291,27593,6754
8600000US78418,78418,ZCTA5 78418,12568,489,8348,526,5993,513,4220,504,62450,3510,74066,8869,91962,7836,39924,5015
8600000US78419,78419,ZCTA5 78419,197,49,180,49,134,35,17,16,50114,6703,47778,5264,52500,6196,70972,20632
