OriginalZip,CalendarYearIssued,Issuedmonth,Total_NewConstructions,Total_RemodelsRepairs,TotalCost_NewConstructions,TotalCost_RemodelRepairs
78617,2011,10,1,5,60458,41350
78617,2011,11,4,0,218774,0
78617,2011,12,6,0,552736,0
78617,2012,1,1,3,60000,4900
78617,2012,2,3,17,257564,22500
78617,2012,3,11,16,994144,19200
78617,2012,4,13,2,1175744,2400
78617,2012,5,22,0,1880036,0
78617,2012,6,7,0,560070,0
78617,2012,7,10,6,752795,54800
78617,2012,8,8,6,692505,8000
78617,2012,9,5,0,439335,0
78617,2012,10,5,9,431490,10800
78617,2012,11,6,15,668085,14400
78617,2012,12,6,1,548280,1200
78617,2013,1,14,0,1457740,0
78617,2013,2,6,6,519930,6000
78617,2013,3,5,12,447565,14400
78617,2013,4,11,9,1018260,10800
78617,2013,5,4,7,322640,8400
78617,2013,6,4,12,432820,14400
78617,2013,7,2,14,176220,24100
78617,2013,8,5,14,501535,19368
78617,2013,9,1,28,78000,21000
78617,2013,10,10,6,869560,47500
78617,2013,11,4,9,386460,5200
78617,2013,12,3,17,316920,23950
78617,2014,1,4,15,351560,39000
78617,2014,2,0,1,0,2700
78617,2014,3,0,16,0,41700
78617,2014,4,0,12,0,31700
78617,2014,5,0,12,0,29138
78617,2014,6,0,7,0,15200
78617,2014,7,0,6,0,16200
78617,2014,8,0,18,0,47800
78617,2014,9,4,5,446905,13500
78617,2014,10,3,27,417400,90826
78617,2014,11,0,13,0,37900
78617,2014,12,1,13,170000,35100
78617,2015,1,0,16,0,44688
78617,2015,2,0,12,0,15900
78617,2015,3,3,1,347305,3500
78617,2015,4,8,11,863460,22000
78617,2015,5,4,2,536580,7600
78617,2015,6,5,17,533580,46025
78617,2015,7,5,3,576220,5100
78617,2015,8,6,3,618220,3600
78617,2015,9,2,17,140620,18857
78617,2015,10,7,3,826055,27764
78617,2015,11,2,39,217165,736144
78617,2015,12,4,10,612885,17700
78617,2016,1,6,9,791570,10800
78617,2016,2,11,5,1264845,22500
78617,2016,3,18,9,2263293,16900
78617,2016,4,12,2,1610345,30000
78617,2016,5,19,4,2447585,36695
78617,2016,6,9,2,1005090,13300
78617,2016,7,10,1,1397276,1200
78617,2016,8,9,11,1297215,52200
78617,2016,9,5,5,653300,17500
78617,2016,10,4,5,491325,18500
78617,2016,11,7,0,1109175,0
78617,2016,12,4,2,670725,2400
78617,2017,1,3,5,432450,6000
78617,2017,2,0,2,0,2600
78617,2017,3,1,2,25000,4000
78617,2017,5,5,6,840000,16500
78617,2017,6,5,7,668950,48318
78617,2017,7,7,3,989525,11100
78617,2017,8,3,3,465150,6000
78617,2017,9,0,3,0,18400
78617,2017,10,0,4,0,80200
78617,2017,12,1,1,76740,4400
78617,2018,1,17,1,1925760,1200
78617,2018,2,6,1,730080,500
78617,2018,3,13,7,1336460,12200
78617,2018,4,11,0,1060380,0
78617,2018,5,5,2,646560,4000
78641,1998,10,0,1,0,64470
78641,1999,2,0,1,0,3500
78641,2011,7,1,0,20000,0
78652,2009,1,7,0,733930,0
78652,2009,2,15,0,1644100,0
78652,2009,3,4,0,476710,0
78652,2009,4,6,0,718190,0
78652,2009,5,3,0,343220,0
78652,2009,6,4,0,467960,0
78652,2009,7,9,0,1080610,0
78652,2009,8,1,0,103490,0
78652,2009,9,1,0,104490,0
78652,2009,10,3,0,350970,0
78652,2009,11,3,0,351220,0
78652,2009,12,5,0,579200,0
78652,2010,2,4,0,481960,0
78652,2010,3,1,0,126990,0
78652,2010,4,7,0,746930,0
78652,2010,5,2,0,240730,0
78652,2010,6,2,0,233480,0
78652,2010,8,1,0,105490,0
78652,2010,9,4,0,479210,0
78652,2010,10,5,0,583700,0
78652,2010,11,1,0,126740,0
78652,2010,12,4,1,411460,5550
78652,2011,1,2,0,223230,0
78652,2011,2,9,0,926320,0
78652,2011,3,6,0,686940,0
78652,2011,4,5,0,603700,0
78652,2011,5,8,0,938400,0
78652,2011,6,5,0,564950,0
78652,2011,8,1,0,101490,0
78652,2011,10,0,1,0,2000
78652,2014,2,2,0,598800,0
78652,2014,4,1,0,257025,0
78652,2014,5,1,0,326325,0
78652,2014,7,2,0,304679,0
78652,2014,8,26,0,3080160,0
78652,2014,9,15,0,1990452,0
78652,2014,10,19,0,2301131,0
78652,2014,11,6,0,751436,0
78652,2015,2,4,0,1323466,0
78652,2015,3,1,0,386000,0
78652,2015,4,2,0,1209328,0
78652,2015,5,3,0,950000,0
78652,2015,7,2,0,764578,0
78652,2015,11,3,0,1335200,0
78652,2015,12,6,0,927525,0
