Inventory Measure,Zip Code,Year,Month
127.0,78732,2017,6
124.0,78732,2017,7
123.0,78732,2017,8
105.0,78732,2017,9
95.0,78732,2017,10
92.0,78732,2017,11
72.0,78732,2017,12
55.0,78732,2018,1
56.0,78732,2018,2
68.0,78732,2018,3
82.0,78732,2018,4
114.0,78733,2010,1
110.0,78733,2010,2
96.0,78733,2010,3
112.0,78733,2010,4
112.0,78733,2010,5
111.0,78733,2010,6
113.0,78733,2010,7
110.0,78733,2010,8
118.0,78733,2010,9
117.0,78733,2010,10
116.0,78733,2010,11
105.0,78733,2010,12
94.0,78733,2011,1
92.0,78733,2011,2
99.0,78733,2011,3
116.0,78733,2011,4
115.0,78733,2011,5
123.0,78733,2011,6
124.0,78733,2011,7
102.0,78733,2011,8
90.0,78733,2011,9
86.0,78733,2011,10
84.0,78733,2011,11
75.0,78733,2011,12
66.0,78733,2012,1
70.0,78733,2012,2
74.0,78733,2012,3
68.0,78733,2012,4
59.0,78733,2012,5
62.0,78733,2012,6
65.0,78733,2012,7
67.0,78733,2012,8
58.0,78733,2012,9
45.0,78733,2012,10
36.0,78733,2012,11
35.0,78733,2012,12
30.0,78733,2013,1
32.0,78733,2013,2
36.0,78733,2013,3
46.0,78733,2013,4
43.0,78733,2013,5
45.0,78733,2013,6
38.0,78733,2013,7
30.0,78733,2013,8
31.0,78733,2013,9
35.0,78733,2013,10
30.0,78733,2013,11
27.0,78733,2013,12
24.0,78733,2014,1
24.0,78733,2014,2
28.0,78733,2014,3
24.0,78733,2014,4
28.0,78733,2014,5
36.0,78733,2014,6
44.0,78733,2014,7
43.0,78733,2014,8
43.0,78733,2014,9
36.0,78733,2014,10
38.0,78733,2014,11
40.0,78733,2014,12
40.0,78733,2015,1
45.0,78733,2015,2
47.0,78733,2015,3
46.0,78733,2015,4
44.0,78733,2015,5
44.0,78733,2015,6
48.0,78733,2015,7
50.0,78733,2015,8
47.0,78733,2015,9
45.0,78733,2015,10
38.0,78733,2015,11
33.0,78733,2015,12
31.0,78733,2016,1
38.0,78733,2016,2
41.0,78733,2016,3
43.0,78733,2016,4
42.0,78733,2016,5
44.0,78733,2016,6
51.0,78733,2016,7
55.0,78733,2016,8
47.0,78733,2016,9
46.0,78733,2016,10
38.0,78733,2016,11
32.0,78733,2016,12
31.0,78733,2017,1
31.0,78733,2017,2
42.0,78733,2017,3
48.0,78733,2017,4
59.0,78733,2017,5
58.0,78733,2017,6
58.0,78733,2017,7
53.0,78733,2017,8
45.0,78733,2017,9
44.0,78733,2017,10
40.0,78733,2017,11
38.0,78733,2017,12
28.0,78733,2018,1
28.0,78733,2018,2
34.0,78733,2018,3
37.0,78733,2018,4
489.0,78734,2010,1
478.0,78734,2010,2
543.0,78734,2010,3
562.0,78734,2010,4
537.0,78734,2010,5
516.0,78734,2010,6
516.0,78734,2010,7
490.0,78734,2010,8
482.0,78734,2010,9
485.0,78734,2010,10
458.0,78734,2010,11
424.0,78734,2010,12
398.0,78734,2011,1
380.0,78734,2011,2
370.0,78734,2011,3
403.0,78734,2011,4
404.0,78734,2011,5
413.0,78734,2011,6
450.0,78734,2011,7
384.0,78734,2011,8
342.0,78734,2011,9
325.0,78734,2011,10
301.0,78734,2011,11
262.0,78734,2011,12
240.0,78734,2012,1
254.0,78734,2012,2
285.0,78734,2012,3
294.0,78734,2012,4
306.0,78734,2012,5
332.0,78734,2012,6
338.0,78734,2012,7
314.0,78734,2012,8
298.0,78734,2012,9
289.0,78734,2012,10
260.0,78734,2012,11
244.0,78734,2012,12
221.0,78734,2013,1
224.0,78734,2013,2
243.0,78734,2013,3
246.0,78734,2013,4
272.0,78734,2013,5
283.0,78734,2013,6
284.0,78734,2013,7
278.0,78734,2013,8
274.0,78734,2013,9
270.0,78734,2013,10
233.0,78734,2013,11
192.0,78734,2013,12
181.0,78734,2014,1
208.0,78734,2014,2
229.0,78734,2014,3
254.0,78734,2014,4
231.0,78734,2014,5
250.0,78734,2014,6
254.0,78734,2014,7
256.0,78734,2014,8
244.0,78734,2014,9
242.0,78734,2014,10
233.0,78734,2014,11
208.0,78734,2014,12
178.0,78734,2015,1
188.0,78734,2015,2
212.0,78734,2015,3
221.0,78734,2015,4
234.0,78734,2015,5
264.0,78734,2015,6
270.0,78734,2015,7
272.0,78734,2015,8
260.0,78734,2015,9
244.0,78734,2015,10
215.0,78734,2015,11
196.0,78734,2015,12
178.0,78734,2016,1
198.0,78734,2016,2
212.0,78734,2016,3
228.0,78734,2016,4
232.0,78734,2016,5
267.0,78734,2016,6
306.0,78734,2016,7
327.0,78734,2016,8
284.0,78734,2016,9
272.0,78734,2016,10
231.0,78734,2016,11
212.0,78734,2016,12
193.0,78734,2017,1
190.0,78734,2017,2
213.0,78734,2017,3
226.0,78734,2017,4
256.0,78734,2017,5
268.0,78734,2017,6
244.0,78734,2017,7
241.0,78734,2017,8
214.0,78734,2017,9
186.0,78734,2017,10
181.0,78734,2017,11
154.0,78734,2017,12
145.0,78734,2018,1
163.0,78734,2018,2
172.0,78734,2018,3
196.0,78734,2018,4
144.0,78735,2010,1
150.0,78735,2010,2
163.0,78735,2010,3
172.0,78735,2010,4
175.0,78735,2010,5
176.0,78735,2010,6
179.0,78735,2010,7
158.0,78735,2010,8
152.0,78735,2010,9
147.0,78735,2010,10
128.0,78735,2010,11
116.0,78735,2010,12
122.0,78735,2011,1
130.0,78735,2011,2
130.0,78735,2011,3
143.0,78735,2011,4
138.0,78735,2011,5
147.0,78735,2011,6
152.0,78735,2011,7
133.0,78735,2011,8
114.0,78735,2011,9
109.0,78735,2011,10
105.0,78735,2011,11
112.0,78735,2011,12
110.0,78735,2012,1
112.0,78735,2012,2
120.0,78735,2012,3
118.0,78735,2012,4
87.0,78735,2012,5
82.0,78735,2012,6
90.0,78735,2012,7
84.0,78735,2012,8
76.0,78735,2012,9
103.0,78735,2012,10
99.0,78735,2012,11
102.0,78735,2012,12
92.0,78735,2013,1
49.0,78735,2013,2
49.0,78735,2013,3
51.0,78735,2013,4
61.0,78735,2013,5
60.0,78735,2013,6
71.0,78735,2013,7
69.0,78735,2013,8
69.0,78735,2013,9
67.0,78735,2013,10
57.0,78735,2013,11
54.0,78735,2013,12
51.0,78735,2014,1
49.0,78735,2014,2
55.0,78735,2014,3
49.0,78735,2014,4
44.0,78735,2014,5
55.0,78735,2014,6
53.0,78735,2014,7
50.0,78735,2014,8
44.0,78735,2014,9
53.0,78735,2014,10
54.0,78735,2014,11
48.0,78735,2014,12
42.0,78735,2015,1
44.0,78735,2015,2
53.0,78735,2015,3
57.0,78735,2015,4
66.0,78735,2015,5
74.0,78735,2015,6
77.0,78735,2015,7
84.0,78735,2015,8
73.0,78735,2015,9
76.0,78735,2015,10
64.0,78735,2015,11
51.0,78735,2015,12
50.0,78735,2016,1
56.0,78735,2016,2
66.0,78735,2016,3
90.0,78735,2016,4
102.0,78735,2016,5
113.0,78735,2016,6
108.0,78735,2016,7
103.0,78735,2016,8
100.0,78735,2016,9
97.0,78735,2016,10
81.0,78735,2016,11
74.0,78735,2016,12
74.0,78735,2017,1
68.0,78735,2017,2
73.0,78735,2017,3
42.0,78736,2010,1
47.0,78736,2010,2
44.0,78736,2010,3
44.0,78736,2010,4
42.0,78736,2010,5
50.0,78736,2010,6
55.0,78736,2010,7
60.0,78736,2010,8
57.0,78736,2010,9
58.0,78736,2010,10
51.0,78736,2010,11
42.0,78736,2010,12
44.0,78736,2011,1
48.0,78736,2011,2
58.0,78736,2011,3
60.0,78736,2011,4
62.0,78736,2011,5
64.0,78736,2011,6
68.0,78736,2011,7
63.0,78736,2011,8
65.0,78736,2011,9
64.0,78736,2011,10
59.0,78736,2011,11
45.0,78736,2011,12
44.0,78736,2012,1
37.0,78736,2012,2
41.0,78736,2012,3
44.0,78736,2012,4
47.0,78736,2012,5
46.0,78736,2012,6
50.0,78736,2012,7
49.0,78736,2012,8
40.0,78736,2012,9
32.0,78736,2012,10
32.0,78736,2012,11
26.0,78736,2012,12
21.0,78736,2013,1
22.0,78736,2013,2
26.0,78736,2013,3
27.0,78736,2013,4
28.0,78736,2013,5
27.0,78736,2013,6
31.0,78736,2013,7
26.0,78736,2013,8
28.0,78736,2013,9
25.0,78736,2013,10
26.0,78736,2013,11
29.0,78736,2013,12
27.0,78736,2014,1
32.0,78736,2014,2
32.0,78736,2014,3
36.0,78736,2014,4
32.0,78736,2014,5
35.0,78736,2014,6
36.0,78736,2014,7
33.0,78736,2014,8
26.0,78736,2014,9
18.0,78736,2014,10
21.0,78736,2014,11
20.0,78736,2014,12
14.0,78736,2015,1
12.0,78736,2015,2
18.0,78736,2015,3
24.0,78736,2015,4
29.0,78736,2015,5
27.0,78736,2015,6
35.0,78736,2015,7
34.0,78736,2015,8
40.0,78736,2015,9
39.0,78736,2015,10
38.0,78736,2015,11
27.0,78736,2015,12
16.0,78736,2016,1
18.0,78736,2016,2
