Median Rental Price,Zip Code,Year,Month
1730.0,78723,2017,5
1745.0,78723,2017,6
1795.0,78723,2017,7
1747.5,78723,2017,8
1725.0,78723,2017,9
1712.5,78723,2017,10
1735.0,78723,2017,11
1750.0,78723,2017,12
1750.0,78723,2018,1
1750.0,78723,2018,2
1797.5,78723,2018,3
1875.0,78723,2018,4
1090.0,78726,2015,7
1085.0,78726,2015,8
1024.5,78726,2015,9
1085.0,78726,2015,10
1069.0,78726,2015,11
1069.0,78726,2015,12
1053.0,78726,2016,1
1053.0,78726,2016,2
996.0,78726,2016,3
966.0,78726,2016,4
981.0,78726,2016,5
1085.0,78726,2016,6
981.0,78726,2016,7
1087.5,78726,2016,8
966.0,78726,2016,9
996.0,78726,2016,10
960.0,78726,2016,11
917.0,78726,2016,12
954.0,78726,2017,1
966.0,78726,2017,2
1085.0,78726,2017,3
1090.0,78726,2017,4
1090.0,78726,2017,5
1183.0,78726,2017,6
1281.0,78726,2017,7
1250.0,78726,2017,8
1090.0,78726,2017,9
1069.0,78726,2017,10
1085.0,78726,2017,11
1085.0,78726,2017,12
996.0,78726,2018,1
1053.0,78726,2018,2
1085.0,78726,2018,3
1090.0,78726,2018,4
1132.5,78727,2013,7
1125.0,78727,2013,8
1250.0,78727,2013,9
1275.0,78727,2013,10
1296.0,78727,2013,11
1268.0,78727,2013,12
1268.0,78727,2014,1
1261.0,78727,2014,2
1300.0,78727,2014,3
1350.0,78727,2014,4
1275.0,78727,2014,5
1362.5,78727,2014,6
1390.5,78727,2014,7
1395.0,78727,2014,8
1395.0,78727,2014,9
1335.0,78727,2014,10
1275.0,78727,2014,11
1295.0,78727,2014,12
1350.0,78727,2015,1
1345.0,78727,2015,2
1295.0,78727,2015,3
1295.0,78727,2015,4
1350.0,78727,2015,5
1410.0,78727,2015,6
1500.0,78727,2015,7
1475.0,78727,2015,8
1400.0,78727,2015,9
1450.0,78727,2015,10
1450.0,78727,2015,11
1362.5,78727,2015,12
1390.5,78727,2016,1
1445.0,78727,2016,2
1450.0,78727,2016,3
1386.0,78727,2016,4
1350.0,78727,2016,5
1285.0,78727,2016,6
1298.0,78727,2016,7
1296.0,78727,2016,8
1285.0,78727,2016,9
1275.0,78727,2016,10
1244.5,78727,2016,11
1285.0,78727,2016,12
1399.5,78727,2017,1
1495.0,78727,2017,2
1482.5,78727,2017,3
1495.0,78727,2017,4
1525.0,78727,2017,5
1500.0,78727,2017,6
1500.0,78727,2017,7
1500.0,78727,2017,8
1500.0,78727,2017,9
1512.5,78727,2017,10
1499.0,78727,2017,11
1475.0,78727,2017,12
1495.0,78727,2018,1
1497.5,78727,2018,2
1495.0,78727,2018,3
1495.0,78727,2018,4
1010.0,78728,2012,12
860.0,78728,2013,1
895.0,78728,2013,2
880.0,78728,2013,3
885.0,78728,2013,4
925.0,78728,2013,5
908.0,78728,2013,6
954.0,78728,2013,7
995.0,78728,2013,8
955.0,78728,2013,9
954.0,78728,2013,10
950.0,78728,2013,11
928.0,78728,2013,12
950.0,78728,2014,1
967.5,78728,2014,2
1055.0,78728,2014,3
1080.0,78728,2014,4
987.0,78728,2014,5
979.0,78728,2014,6
1012.5,78728,2014,7
1002.5,78728,2014,8
997.5,78728,2014,9
987.0,78728,2014,10
956.0,78728,2014,11
967.5,78728,2014,12
940.5,78728,2015,1
940.5,78728,2015,2
950.0,78728,2015,3
967.5,78728,2015,4
1035.0,78728,2015,5
1047.5,78728,2015,6
1047.5,78728,2015,7
1025.0,78728,2015,8
1075.0,78728,2015,9
1035.0,78728,2015,10
1000.0,78728,2015,11
954.0,78728,2015,12
995.0,78728,2016,1
1000.0,78728,2016,2
1005.0,78728,2016,3
967.5,78728,2016,4
954.0,78728,2016,5
967.5,78728,2016,6
1002.5,78728,2016,7
967.5,78728,2016,8
967.5,78728,2016,9
967.5,78728,2016,10
952.0,78728,2016,11
955.0,78728,2016,12
1005.0,78728,2017,1
1002.5,78728,2017,2
1075.0,78728,2017,3
1300.0,78729,2013,11
1197.5,78729,2013,12
1105.0,78729,2014,1
1145.0,78729,2014,2
1275.0,78729,2014,3
1304.5,78729,2014,4
1140.0,78729,2014,5
1200.0,78729,2014,6
1280.0,78729,2014,7
1145.0,78729,2014,8
1105.0,78729,2014,9
1105.0,78729,2014,10
1102.5,78729,2014,11
1091.0,78729,2014,12
1100.0,78729,2015,1
1145.0,78729,2015,2
1105.0,78729,2015,3
1122.5,78729,2015,4
1140.0,78729,2015,5
1150.0,78729,2015,6
1295.0,78729,2015,7
1252.5,78729,2015,8
1290.0,78729,2015,9
1295.0,78729,2015,10
1275.0,78729,2015,11
1280.0,78729,2015,12
1122.5,78729,2016,1
1100.0,78729,2016,2
1105.0,78729,2016,3
1102.5,78729,2016,4
1057.0,78729,2016,5
1215.0,78729,2016,6
1145.0,78729,2016,7
1102.5,78729,2016,8
