Median Listing Price,Zip Code,Year,Month
550000.0,78704,2017,11
550000.0,78704,2017,12
549990.0,78704,2018,1
549000.0,78704,2018,2
559000.0,78704,2018,3
585000.0,78704,2018,4
286400.0,78705,2016,2
259900.0,78705,2016,3
269000.0,78705,2016,4
253950.0,78705,2016,5
285000.0,78705,2016,6
315000.0,78705,2016,7
330000.0,78705,2016,8
339450.0,78705,2016,9
344499.5,78705,2016,10
339900.0,78705,2016,11
324900.0,78705,2016,12
324750.0,78705,2017,1
339900.0,78705,2017,2
339950.0,78705,2017,3
339900.0,78705,2017,4
339450.0,78705,2017,5
319900.0,78705,2017,6
275000.0,78705,2017,7
319900.0,78705,2017,8
319900.0,78705,2017,9
303000.0,78705,2017,10
239950.0,78717,2010,1
242000.0,78717,2010,2
239900.0,78717,2010,3
239947.5,78717,2010,4
239995.0,78717,2010,5
239900.0,78717,2010,6
239900.0,78717,2010,7
239949.5,78717,2010,8
249900.0,78717,2010,9
250000.0,78717,2010,10
249900.0,78717,2010,11
240538.0,78717,2010,12
237750.0,78717,2011,1
230953.0,78717,2011,2
239900.0,78717,2011,3
242500.0,78717,2011,4
247450.0,78717,2011,5
242000.0,78717,2011,6
239400.0,78717,2011,7
237000.0,78717,2011,8
229900.0,78717,2011,9
233000.0,78717,2011,10
234900.0,78717,2011,11
232900.0,78717,2011,12
230450.0,78717,2012,1
234965.0,78717,2012,2
234965.0,78717,2012,3
239379.0,78717,2012,4
239995.0,78717,2012,5
239500.0,78717,2012,6
249950.0,78717,2012,7
249800.0,78717,2012,8
248900.0,78717,2012,9
257900.0,78717,2012,10
258913.5,78717,2012,11
265000.0,78717,2012,12
271846.0,78717,2013,1
291178.5,78717,2013,2
279460.0,78717,2013,3
278000.0,78717,2013,4
284250.0,78717,2013,5
291717.5,78717,2013,6
299550.0,78717,2013,7
290700.0,78717,2013,8
300000.0,78717,2013,9
319000.0,78717,2013,10
306400.0,78717,2013,11
342495.0,78717,2013,12
326000.0,78717,2014,1
378990.0,78717,2014,2
386495.0,78717,2014,3
366995.0,78717,2014,4
378990.0,78717,2014,5
364500.0,78717,2014,6
370990.0,78717,2014,7
371490.0,78717,2014,8
338500.0,78717,2014,9
364995.0,78717,2014,10
346900.0,78717,2014,11
363740.0,78717,2014,12
375000.0,78717,2015,1
367745.0,78717,2015,2
355995.0,78717,2015,3
349900.0,78717,2015,4
358395.0,78717,2015,5
363990.0,78717,2015,6
366257.5,78717,2015,7
373002.5,78717,2015,8
379900.0,78717,2015,9
386010.0,78717,2015,10
376987.5,78717,2015,11
378490.0,78717,2015,12
384900.0,78717,2016,1
346965.0,78717,2016,2
351144.0,78717,2016,3
349000.0,78717,2016,4
349900.0,78717,2016,5
350000.0,78717,2016,6
355970.0,78717,2016,7
354900.0,78717,2016,8
349900.0,78717,2016,9
372069.0,78717,2016,10
375000.0,78717,2016,11
372000.0,78717,2016,12
369900.0,78717,2017,1
371849.0,78717,2017,2
371849.0,78717,2017,3
371900.0,78717,2017,4
364724.0,78717,2017,5
374900.0,78717,2017,6
365000.0,78717,2017,7
361250.0,78717,2017,8
354900.0,78717,2017,9
377220.0,78717,2017,10
358279.5,78717,2017,11
342287.5,78717,2017,12
334445.0,78717,2018,1
343357.5,78717,2018,2
347000.0,78717,2018,3
359000.0,78717,2018,4
241450.0,78721,2014,11
254950.0,78721,2014,12
261950.0,78721,2015,1
259900.0,78721,2015,2
259900.0,78721,2015,3
272450.0,78721,2015,4
275000.0,78721,2015,5
273750.0,78721,2015,6
277000.0,78721,2015,7
275000.0,78721,2015,8
299000.0,78721,2015,9
285000.0,78721,2015,10
295000.0,78721,2015,11
296950.0,78721,2015,12
295000.0,78721,2016,1
289000.0,78721,2016,2
297495.0,78721,2016,3
314945.0,78721,2016,4
314990.0,78721,2016,5
318750.0,78721,2016,6
320000.0,78721,2016,7
325000.0,78721,2016,8
312450.0,78721,2016,9
324950.0,78721,2016,10
325000.0,78721,2016,11
332495.0,78721,2016,12
339000.0,78721,2017,1
339000.0,78721,2017,2
319000.0,78721,2017,3
310000.0,78721,2017,4
337400.0,78721,2017,5
339950.0,78721,2017,6
325000.0,78721,2017,7
342500.0,78721,2017,8
347000.0,78721,2017,9
339500.0,78721,2017,10
329450.0,78721,2017,11
345000.0,78721,2017,12
340995.0,78721,2018,1
362445.0,78721,2018,2
359990.0,78721,2018,3
369250.0,78721,2018,4
299997.5,78723,2014,4
300000.0,78723,2014,5
320000.0,78723,2014,6
