Home Value Index,Zip Code,Year,Month
266200.0,78704,2000,3
271500.0,78704,2000,4
276400.0,78704,2000,5
280900.0,78704,2000,6
284800.0,78704,2000,7
288200.0,78704,2000,8
290900.0,78704,2000,9
293000.0,78704,2000,10
294800.0,78704,2000,11
296300.0,78704,2000,12
297200.0,78704,2001,1
297800.0,78704,2001,2
298200.0,78704,2001,3
298400.0,78704,2001,4
298700.0,78704,2001,5
298900.0,78704,2001,6
299200.0,78704,2001,7
299500.0,78704,2001,8
299700.0,78704,2001,9
300000.0,78704,2001,10
300300.0,78704,2001,11
300400.0,78704,2001,12
300100.0,78704,2002,1
299300.0,78704,2002,2
298100.0,78704,2002,3
296500.0,78704,2002,4
294500.0,78704,2002,5
292200.0,78704,2002,6
289700.0,78704,2002,7
287300.0,78704,2002,8
285100.0,78704,2002,9
283400.0,78704,2002,10
281700.0,78704,2002,11
280400.0,78704,2002,12
279900.0,78704,2003,1
279700.0,78704,2003,2
278900.0,78704,2003,3
277300.0,78704,2003,4
275100.0,78704,2003,5
273000.0,78704,2003,6
271500.0,78704,2003,7
270300.0,78704,2003,8
269500.0,78704,2003,9
268500.0,78704,2003,10
267500.0,78704,2003,11
266700.0,78704,2003,12
266400.0,78704,2004,1
267200.0,78704,2004,2
269500.0,78704,2004,3
273500.0,78704,2004,4
278600.0,78704,2004,5
283800.0,78704,2004,6
288500.0,78704,2004,7
292200.0,78704,2004,8
295000.0,78704,2004,9
297300.0,78704,2004,10
299200.0,78704,2004,11
301000.0,78704,2004,12
302700.0,78704,2005,1
304100.0,78704,2005,2
305500.0,78704,2005,3
306800.0,78704,2005,4
308000.0,78704,2005,5
309100.0,78704,2005,6
310300.0,78704,2005,7
311500.0,78704,2005,8
312800.0,78704,2005,9
314300.0,78704,2005,10
316200.0,78704,2005,11
318500.0,78704,2005,12
321000.0,78704,2006,1
323500.0,78704,2006,2
325700.0,78704,2006,3
327700.0,78704,2006,4
329200.0,78704,2006,5
330700.0,78704,2006,6
332100.0,78704,2006,7
333800.0,78704,2006,8
335600.0,78704,2006,9
337200.0,78704,2006,10
338500.0,78704,2006,11
339100.0,78704,2006,12
339200.0,78704,2007,1
339100.0,78704,2007,2
338800.0,78704,2007,3
338700.0,78704,2007,4
339100.0,78704,2007,5
340100.0,78704,2007,6
341500.0,78704,2007,7
342700.0,78704,2007,8
343700.0,78704,2007,9
344400.0,78704,2007,10
345100.0,78704,2007,11
345600.0,78704,2007,12
345700.0,78704,2008,1
345400.0,78704,2008,2
344900.0,78704,2008,3
344000.0,78704,2008,4
342900.0,78704,2008,5
341300.0,78704,2008,6
339500.0,78704,2008,7
337700.0,78704,2008,8
335800.0,78704,2008,9
333900.0,78704,2008,10
332300.0,78704,2008,11
331000.0,78704,2008,12
329800.0,78704,2009,1
328500.0,78704,2009,2
327000.0,78704,2009,3
325400.0,78704,2009,4
323700.0,78704,2009,5
322000.0,78704,2009,6
320700.0,78704,2009,7
319700.0,78704,2009,8
318700.0,78704,2009,9
317900.0,78704,2009,10
317800.0,78704,2009,11
318400.0,78704,2009,12
318900.0,78704,2010,1
319300.0,78704,2010,2
319200.0,78704,2010,3
318900.0,78704,2010,4
319400.0,78704,2010,5
320700.0,78704,2010,6
321700.0,78704,2010,7
321500.0,78704,2010,8
320900.0,78704,2010,9
320500.0,78704,2010,10
320200.0,78704,2010,11
320400.0,78704,2010,12
320700.0,78704,2011,1
321200.0,78704,2011,2
322100.0,78704,2011,3
322900.0,78704,2011,4
322500.0,78704,2011,5
321400.0,78704,2011,6
321000.0,78704,2011,7
320400.0,78704,2011,8
319200.0,78704,2011,9
317900.0,78704,2011,10
318200.0,78704,2011,11
319300.0,78704,2011,12
320500.0,78704,2012,1
321500.0,78704,2012,2
321800.0,78704,2012,3
321900.0,78704,2012,4
322600.0,78704,2012,5
324000.0,78704,2012,6
325600.0,78704,2012,7
329100.0,78704,2012,8
337100.0,78704,2012,9
346500.0,78704,2012,10
351300.0,78704,2012,11
352400.0,78704,2012,12
354300.0,78704,2013,1
357400.0,78704,2013,2
361000.0,78704,2013,3
365300.0,78704,2013,4
369400.0,78704,2013,5
372600.0,78704,2013,6
375100.0,78704,2013,7
377300.0,78704,2013,8
379000.0,78704,2013,9
380400.0,78704,2013,10
382800.0,78704,2013,11
386100.0,78704,2013,12
388800.0,78704,2014,1
391400.0,78704,2014,2
394400.0,78704,2014,3
397300.0,78704,2014,4
400900.0,78704,2014,5
404900.0,78704,2014,6
408800.0,78704,2014,7
413400.0,78704,2014,8
418300.0,78704,2014,9
422600.0,78704,2014,10
426600.0,78704,2014,11
430200.0,78704,2014,12
432900.0,78704,2015,1
434600.0,78704,2015,2
437300.0,78704,2015,3
442200.0,78704,2015,4
448100.0,78704,2015,5
453300.0,78704,2015,6
458000.0,78704,2015,7
461600.0,78704,2015,8
463300.0,78704,2015,9
463700.0,78704,2015,10
464500.0,78704,2015,11
466800.0,78704,2015,12
469500.0,78704,2016,1
470800.0,78704,2016,2
470800.0,78704,2016,3
470600.0,78704,2016,4
470200.0,78704,2016,5
469700.0,78704,2016,6
469900.0,78704,2016,7
470500.0,78704,2016,8
470800.0,78704,2016,9
471500.0,78704,2016,10
472100.0,78704,2016,11
472100.0,78704,2016,12
473000.0,78704,2017,1
474900.0,78704,2017,2
476100.0,78704,2017,3
477100.0,78704,2017,4
480400.0,78704,2017,5
484300.0,78704,2017,6
488000.0,78704,2017,7
489700.0,78704,2017,8
488400.0,78704,2017,9
485900.0,78704,2017,10
485600.0,78704,2017,11
486100.0,78704,2017,12
485600.0,78704,2018,1
488500.0,78704,2018,2
495700.0,78704,2018,3
500900.0,78704,2018,4
94100.0,78705,1996,4
94500.0,78705,1996,5
95000.0,78705,1996,6
95500.0,78705,1996,7
95900.0,78705,1996,8
96400.0,78705,1996,9
96800.0,78705,1996,10
97100.0,78705,1996,11
97400.0,78705,1996,12
97800.0,78705,1997,1
98300.0,78705,1997,2
98800.0,78705,1997,3
