Median Listing Price Per sqf,Zip Code,Year,Month
516.60026560425,78701,2016,1
522.61194766205,78701,2016,2
522.38805970149,78701,2016,3
516.60026560425,78701,2016,4
541.01838755304,78701,2016,5
530.50828432822,78701,2016,6
522.11302211302,78701,2016,7
550.86498797925,78701,2016,8
583.98220244716,78701,2016,9
611.79782363667,78701,2016,10
580.66612360496,78701,2016,11
578.87634712522,78701,2016,12
587.08080849459,78701,2017,1
567.28580621202,78701,2017,2
601.70195324152,78701,2017,3
608.62434191436,78701,2017,4
582.45786192565,78701,2017,5
579.2349726776,78701,2017,6
601.48872180451,78701,2017,7
602.5974025974,78701,2017,8
181.40829608719,78702,2010,1
181.43696581197,78702,2010,2
180.40329768271,78702,2010,3
185.55601478726,78702,2010,4
191.80895685766,78702,2010,5
189.15343915344,78702,2010,6
190.94881531114,78702,2010,7
185.81252129377,78702,2010,8
187.03868240284,78702,2010,9
183.86877969492,78702,2010,10
180.94308244263,78702,2010,11
186.84720942891,78702,2010,12
183.95133256083,78702,2011,1
181.29909237298,78702,2011,2
180.16779469825,78702,2011,3
178.57142857143,78702,2011,4
177.82719186785,78702,2011,5
178.82689556509,78702,2011,6
185.03086419753,78702,2011,7
178.62595419847,78702,2011,8
173.88792130302,78702,2011,9
174.82219061166,78702,2011,10
174.82219061166,78702,2011,11
176.89889994762,78702,2011,12
178.17011202217,78702,2012,1
176.89889994762,78702,2012,2
182.77200838415,78702,2012,3
178.52850274725,78702,2012,4
186.36363636364,78702,2012,5
188.94736842105,78702,2012,6
191.29287598945,78702,2012,7
198.72159090909,78702,2012,8
203.25352526439,78702,2012,9
207.72727272727,78702,2012,10
209.09081326889,78702,2012,11
207.97697368421,78702,2012,12
208.79732739421,78702,2013,1
220.13823344345,78702,2013,2
225.0,78702,2013,3
228.58411635228,78702,2013,4
230.15873015873,78702,2013,5
228.24459455473,78702,2013,6
234.70243084661,78702,2013,7
254.09836065574,78702,2013,8
262.7026012934,78702,2013,9
261.6366133894,78702,2013,10
251.14155251142,78702,2013,11
258.82291666667,78702,2013,12
250.63414179322,78702,2014,1
253.66403607666,78702,2014,2
254.18121009425,78702,2014,3
268.125,78702,2014,4
270.43269230769,78702,2014,5
300.33524904215,78702,2014,6
286.63793103448,78702,2014,7
292.4771167048,78702,2014,8
297.0297029703,78702,2014,9
290.5701754386,78702,2014,10
290.5701754386,78702,2014,11
282.00389105058,78702,2014,12
297.1782435542,78702,2015,1
295.97039473684,78702,2015,2
298.24588766135,78702,2015,3
318.91025641026,78702,2015,4
315.474030318,78702,2015,5
321.26985327008,78702,2015,6
318.3446080382,78702,2015,7
322.8305785124,78702,2015,8
319.42870429278,78702,2015,9
302.84552845528,78702,2015,10
309.84577922078,78702,2015,11
313.05903398927,78702,2015,12
319.64901345153,78702,2016,1
332.10194952942,78702,2016,2
333.33333333333,78702,2016,3
324.30908065426,78702,2016,4
325.44282861542,78702,2016,5
331.74138977393,78702,2016,6
320.55095609233,78702,2016,7
317.95596588904,78702,2016,8
320.94594594595,78702,2016,9
321.20740498034,78702,2016,10
331.98869622979,78702,2016,11
340.82399538065,78702,2016,12
348.56700232378,78702,2017,1
344.20289855073,78702,2017,2
344.55298608508,78702,2017,3
344.84367708819,78702,2017,4
351.70717592593,78702,2017,5
354.27491733585,78702,2017,6
368.14556331007,78702,2017,7
365.83430685358,78702,2017,8
354.43727810651,78702,2017,9
342.25589225589,78702,2017,10
339.24935569799,78702,2017,11
341.82692307692,78702,2017,12
350.11529964098,78702,2018,1
362.0,78702,2018,2
360.89577950043,78702,2018,3
369.7439511393,78702,2018,4
269.60641399417,78703,2010,1
271.96793457009,78703,2010,2
277.27517501346,78703,2010,3
279.24720244151,78703,2010,4
280.28169014085,78703,2010,5
275.51228277087,78703,2010,6
272.60692405296,78703,2010,7
278.59135285913,78703,2010,8
272.8622327791,78703,2010,9
269.93619322488,78703,2010,10
272.39231966788,78703,2010,11
264.6759381989,78703,2010,12
264.09232134931,78703,2011,1
263.71308016878,78703,2011,2
275.32493610807,78703,2011,3
277.77777777778,78703,2011,4
279.97729389406,78703,2011,5
278.02187072837,78703,2011,6
278.38897792367,78703,2011,7
274.71656014087,78703,2011,8
284.09090909091,78703,2011,9
283.69545454545,78703,2011,10
287.48975171911,78703,2011,11
284.46900694074,78703,2011,12
277.91771374568,78703,2012,1
280.42364479424,78703,2012,2
275.24743928176,78703,2012,3
270.20592020592,78703,2012,4
287.91603395484,78703,2012,5
288.33839010456,78703,2012,6
285.81480838947,78703,2012,7
288.94644907832,78703,2012,8
294.89795918367,78703,2012,9
300.27855153203,78703,2012,10
309.0401515204,78703,2012,11
309.0401515204,78703,2012,12
316.23949420449,78703,2013,1
321.61036557149,78703,2013,2
317.74144716924,78703,2013,3
317.78335544829,78703,2013,4
317.31356195518,78703,2013,5
338.39556737684,78703,2013,6
340.6121477856,78703,2013,7
341.25513394559,78703,2013,8
348.7984496124,78703,2013,9
349.71390104342,78703,2013,10
360.25786879029,78703,2013,11
345.36891679749,78703,2013,12
343.85813148789,78703,2014,1
342.29258713795,78703,2014,2
346.13333333333,78703,2014,3
361.33415688697,78703,2014,4
364.20553167944,78703,2014,5
391.54028560199,78703,2014,6
362.61040235525,78703,2014,7
355.06778566817,78703,2014,8
375.84070289917,78703,2014,9
359.83379501385,78703,2014,10
378.87438825449,78703,2014,11
375.86966701788,78703,2014,12
387.9979306777,78703,2015,1
393.71772805508,78703,2015,2
418.08149405773,78703,2015,3
420.83669271905,78703,2015,4
408.47929058336,78703,2015,5
405.90405904059,78703,2015,6
407.15371019256,78703,2015,7
402.60663507109,78703,2015,8
410.50197640665,78703,2015,9
410.8989729225,78703,2015,10
407.14285714286,78703,2015,11
420.37302725968,78703,2015,12
427.70481927711,78703,2016,1
419.19961886613,78703,2016,2
415.36144578313,78703,2016,3
418.13994835343,78703,2016,4
411.52263374486,78703,2016,5
427.00284668565,78703,2016,6
434.4113372093,78703,2016,7
432.61175444274,78703,2016,8
433.89095005333,78703,2016,9
440.0,78703,2016,10
441.79792547061,78703,2016,11
434.375,78703,2016,12
432.84978942443,78703,2017,1
429.24037460978,78703,2017,2
440.8284116711,78703,2017,3
446.1275931296,78703,2017,4
444.83910602332,78703,2017,5
449.73544973545,78703,2017,6
440.48595771537,78703,2017,7
418.34429220607,78703,2017,8
438.35282651072,78703,2017,9
433.08333333333,78703,2017,10
412.28070175439,78703,2017,11
418.03097952971,78703,2017,12
428.35507828181,78703,2018,1
435.57833089312,78703,2018,2
439.52180028129,78703,2018,3
433.61188486537,78703,2018,4
229.78464822244,78704,2010,1
228.84615384615,78704,2010,2
225.42316454335,78704,2010,3
225.7376466406,78704,2010,4
229.86193346692,78704,2010,5
227.21962616822,78704,2010,6
226.8424951445,78704,2010,7
227.89676002197,78704,2010,8
225.13713697443,78704,2010,9
223.74337715856,78704,2010,10
219.54964176049,78704,2010,11
218.48739495798,78704,2010,12
222.65625,78704,2011,1
219.33001033659,78704,2011,2
222.46736550633,78704,2011,3
220.77101979689,78704,2011,4
221.16065109696,78704,2011,5
222.65376332791,78704,2011,6
225.09610104338,78704,2011,7
224.24175407557,78704,2011,8
231.25199362041,78704,2011,9
229.71094327079,78704,2011,10
225.23637716333,78704,2011,11
221.78530102587,78704,2011,12
214.79292337056,78704,2012,1
227.12185870081,78704,2012,2
232.64699532964,78704,2012,3
232.19453573356,78704,2012,4
241.37846131517,78704,2012,5
241.5611814346,78704,2012,6
236.21174430635,78704,2012,7
230.16351118761,78704,2012,8
231.87250996016,78704,2012,9
236.18789939899,78704,2012,10
240.38461538461,78704,2012,11
237.41963137591,78704,2012,12
241.92193675889,78704,2013,1
236.9265532432,78704,2013,2
250.43366034228,78704,2013,3
252.23214285714,78704,2013,4
258.01011804385,78704,2013,5
258.6143393691,78704,2013,6
