Sales,Zip Code,Year,Month
1.0,78719,2011,10
2.0,78719,2011,12
2.0,78719,2012,3
1.0,78719,2012,6
2.0,78719,2012,8
1.0,78719,2013,2
1.0,78719,2013,5
1.0,78719,2014,9
1.0,78719,2014,12
1.0,78719,2015,8
2.0,78719,2015,10
1.0,78719,2016,2
5.0,78721,2008,6
11.0,78721,2008,7
9.0,78721,2008,8
10.0,78721,2008,9
5.0,78721,2008,10
6.0,78721,2008,11
8.0,78721,2008,12
9.0,78721,2009,1
2.0,78721,2009,2
2.0,78721,2009,3
4.0,78721,2009,4
6.0,78721,2009,5
7.0,78721,2009,6
10.0,78721,2009,7
9.0,78721,2009,8
5.0,78721,2009,9
14.0,78721,2009,10
19.0,78721,2009,11
10.0,78721,2009,12
7.0,78721,2010,1
7.0,78721,2010,2
11.0,78721,2010,3
10.0,78721,2010,4
6.0,78721,2010,5
17.0,78721,2010,6
5.0,78721,2010,7
10.0,78721,2010,8
8.0,78721,2010,9
4.0,78721,2010,10
5.0,78721,2010,11
2.0,78721,2010,12
5.0,78721,2011,1
6.0,78721,2011,2
8.0,78721,2011,3
5.0,78721,2011,4
9.0,78721,2011,5
9.0,78721,2011,6
7.0,78721,2011,7
6.0,78721,2011,8
5.0,78721,2011,9
6.0,78721,2011,10
3.0,78721,2011,11
8.0,78721,2011,12
4.0,78721,2012,1
7.0,78721,2012,2
3.0,78721,2012,3
6.0,78721,2012,4
11.0,78721,2012,5
9.0,78721,2012,6
11.0,78721,2012,7
11.0,78721,2012,8
8.0,78721,2012,9
8.0,78721,2012,10
3.0,78721,2012,11
9.0,78721,2012,12
3.0,78721,2013,1
2.0,78721,2013,2
5.0,78721,2013,3
4.0,78721,2013,4
7.0,78721,2013,5
10.0,78721,2013,6
1.0,78721,2013,7
6.0,78721,2013,8
7.0,78721,2013,9
3.0,78721,2013,10
8.0,78721,2013,11
5.0,78721,2013,12
5.0,78721,2014,1
5.0,78721,2014,2
3.0,78721,2014,3
8.0,78721,2014,4
7.0,78721,2014,5
10.0,78721,2014,6
5.0,78721,2014,7
4.0,78721,2014,8
3.0,78721,2014,9
5.0,78721,2014,10
7.0,78721,2014,11
8.0,78721,2014,12
6.0,78721,2015,1
7.0,78721,2015,2
8.0,78721,2015,3
5.0,78721,2015,4
9.0,78721,2015,5
5.0,78721,2015,6
18.0,78721,2015,7
14.0,78721,2015,8
8.0,78721,2015,9
11.0,78721,2015,10
6.0,78721,2015,11
11.0,78721,2015,12
7.0,78721,2016,1
10.0,78721,2016,2
12.0,78721,2016,3
10.0,78721,2016,4
14.0,78721,2016,5
2.0,78721,2016,6
16.0,78722,2008,6
9.0,78722,2008,7
5.0,78722,2008,8
3.0,78722,2008,9
7.0,78722,2008,10
7.0,78722,2008,11
5.0,78722,2008,12
2.0,78722,2009,1
3.0,78722,2009,2
3.0,78722,2009,3
6.0,78722,2009,4
3.0,78722,2009,5
6.0,78722,2009,6
9.0,78722,2009,7
5.0,78722,2009,8
1.0,78722,2009,9
5.0,78722,2009,10
5.0,78722,2009,11
5.0,78722,2009,12
2.0,78722,2010,1
1.0,78722,2010,2
2.0,78722,2010,3
8.0,78722,2010,4
3.0,78722,2010,5
3.0,78722,2010,6
4.0,78722,2010,7
6.0,78722,2010,8
2.0,78722,2010,9
3.0,78722,2010,10
3.0,78722,2010,11
5.0,78722,2010,12
2.0,78722,2011,1
2.0,78722,2011,2
3.0,78722,2011,3
4.0,78722,2011,4
4.0,78722,2011,5
6.0,78722,2011,6
5.0,78722,2011,7
3.0,78722,2011,8
3.0,78722,2011,9
2.0,78722,2011,10
5.0,78722,2011,11
5.0,78722,2011,12
2.0,78722,2012,1
1.0,78722,2012,2
10.0,78722,2012,3
3.0,78722,2012,4
5.0,78722,2012,5
2.0,78722,2012,6
8.0,78722,2012,7
3.0,78722,2012,8
7.0,78722,2012,9
7.0,78722,2012,10
9.0,78722,2012,11
3.0,78722,2012,12
2.0,78722,2013,1
1.0,78722,2013,2
3.0,78722,2013,3
2.0,78722,2013,4
4.0,78722,2013,5
4.0,78722,2013,6
3.0,78722,2013,7
2.0,78722,2013,8
2.0,78722,2013,9
5.0,78722,2013,10
2.0,78722,2013,11
2.0,78722,2013,12
1.0,78722,2014,2
2.0,78722,2014,4
3.0,78722,2014,5
2.0,78722,2014,6
2.0,78722,2014,7
3.0,78722,2014,8
1.0,78722,2014,10
1.0,78722,2014,11
3.0,78722,2014,12
2.0,78722,2015,1
1.0,78722,2015,2
3.0,78722,2015,4
1.0,78722,2015,5
1.0,78722,2015,6
10.0,78722,2015,7
4.0,78722,2015,8
2.0,78722,2015,9
6.0,78722,2015,10
5.0,78722,2015,11
10.0,78722,2015,12
3.0,78722,2016,1
6.0,78722,2016,2
4.0,78722,2016,3
8.0,78722,2016,4
6.0,78722,2016,5
1.0,78722,2016,6
332.0,78723,2008,6
43.0,78723,2008,7
39.0,78723,2008,8
28.0,78723,2008,9
37.0,78723,2008,10
37.0,78723,2008,11
32.0,78723,2008,12
31.0,78723,2009,1
26.0,78723,2009,2
32.0,78723,2009,3
26.0,78723,2009,4
21.0,78723,2009,5
39.0,78723,2009,6
45.0,78723,2009,7
26.0,78723,2009,8
23.0,78723,2009,9
33.0,78723,2009,10
30.0,78723,2009,11
21.0,78723,2009,12
11.0,78723,2010,1
19.0,78723,2010,2
32.0,78723,2010,3
29.0,78723,2010,4
28.0,78723,2010,5
25.0,78723,2010,6
17.0,78723,2010,7
26.0,78723,2010,8
14.0,78723,2010,9
13.0,78723,2010,10
13.0,78723,2010,11
25.0,78723,2010,12
7.0,78723,2011,1
12.0,78723,2011,2
22.0,78723,2011,3
14.0,78723,2011,4
17.0,78723,2011,5
34.0,78723,2011,6
23.0,78723,2011,7
25.0,78723,2011,8
24.0,78723,2011,9
18.0,78723,2011,10
28.0,78723,2011,11
19.0,78723,2011,12
13.0,78723,2012,1
20.0,78723,2012,2
19.0,78723,2012,3
20.0,78723,2012,4
21.0,78723,2012,5
24.0,78723,2012,6
24.0,78723,2012,7
26.0,78723,2012,8
16.0,78723,2012,9
15.0,78723,2012,10
25.0,78723,2012,11
17.0,78723,2012,12
7.0,78723,2013,1
15.0,78723,2013,2
25.0,78723,2013,3
24.0,78723,2013,4
25.0,78723,2013,5
24.0,78723,2013,6
24.0,78723,2013,7
16.0,78723,2013,8
13.0,78723,2013,9
16.0,78723,2013,10
15.0,78723,2013,11
28.0,78723,2013,12
1.0,78723,2014,1
19.0,78723,2014,2
20.0,78723,2014,3
17.0,78723,2014,4
19.0,78723,2014,5
18.0,78723,2014,6
15.0,78723,2014,7
18.0,78723,2014,8
14.0,78723,2014,9
14.0,78723,2014,10
9.0,78723,2014,11
23.0,78723,2014,12
2.0,78723,2015,1
11.0,78723,2015,2
16.0,78723,2015,3
28.0,78723,2015,4
16.0,78723,2015,5
13.0,78723,2015,6
36.0,78723,2015,7
32.0,78723,2015,8
30.0,78723,2015,9
17.0,78723,2015,10
29.0,78723,2015,11
22.0,78723,2015,12
28.0,78723,2016,1
24.0,78723,2016,2
25.0,78723,2016,3
28.0,78723,2016,4
29.0,78723,2016,5
3.0,78723,2016,6
19.0,78724,2008,6
20.0,78724,2008,7
19.0,78724,2008,8
16.0,78724,2008,9
24.0,78724,2008,10
17.0,78724,2008,11
15.0,78724,2008,12
5.0,78724,2009,1
17.0,78724,2009,2
14.0,78724,2009,3
13.0,78724,2009,4
14.0,78724,2009,5
15.0,78724,2009,6
13.0,78724,2009,7
14.0,78724,2009,8
27.0,78724,2009,9
16.0,78724,2009,10
16.0,78724,2009,11
18.0,78724,2009,12
6.0,78724,2010,1
12.0,78724,2010,2
18.0,78724,2010,3
15.0,78724,2010,4
11.0,78724,2010,5
16.0,78724,2010,6
11.0,78724,2010,7
12.0,78724,2010,8
12.0,78724,2010,9
8.0,78724,2010,10
6.0,78724,2010,11
27.0,78724,2010,12
8.0,78724,2011,1
9.0,78724,2011,2
15.0,78724,2011,3
20.0,78724,2011,4
10.0,78724,2011,5
17.0,78724,2011,6
12.0,78724,2011,7
13.0,78724,2011,8
9.0,78724,2011,9
13.0,78724,2011,10
9.0,78724,2011,11
8.0,78724,2011,12
14.0,78724,2012,1
6.0,78724,2012,2
14.0,78724,2012,3
8.0,78724,2012,4
15.0,78724,2012,5
9.0,78724,2012,6
12.0,78724,2012,7
26.0,78724,2012,8
10.0,78724,2012,9
11.0,78724,2012,10
12.0,78724,2012,11
8.0,78724,2012,12
8.0,78724,2013,1
8.0,78724,2013,2
8.0,78724,2013,3
2.0,78724,2013,4
11.0,78724,2013,5
10.0,78724,2013,6
10.0,78724,2013,7
8.0,78724,2013,8
15.0,78724,2013,9
8.0,78724,2013,10
6.0,78724,2013,11
17.0,78724,2013,12
9.0,78724,2014,1
12.0,78724,2014,2
12.0,78724,2014,3
13.0,78724,2014,4
14.0,78724,2014,5
13.0,78724,2014,6
8.0,78724,2014,7
9.0,78724,2014,8
14.0,78724,2014,9
13.0,78724,2014,10
4.0,78724,2014,11
10.0,78724,2014,12
9.0,78724,2015,1
16.0,78724,2015,2
15.0,78724,2015,3
11.0,78724,2015,4
4.0,78724,2015,5
7.0,78724,2015,6
11.0,78724,2015,7
15.0,78724,2015,8
12.0,78724,2015,9
6.0,78724,2015,10
9.0,78724,2015,11
8.0,78724,2015,12
9.0,78724,2016,1
4.0,78724,2016,2
11.0,78724,2016,3
16.0,78724,2016,4
7.0,78724,2016,5
15.0,78725,2008,6
12.0,78725,2008,7
9.0,78725,2008,8
19.0,78725,2008,9
10.0,78725,2008,10
6.0,78725,2008,11
13.0,78725,2008,12
4.0,78725,2009,1
7.0,78725,2009,2
33.0,78725,2009,3
14.0,78725,2009,4
11.0,78725,2009,5
10.0,78725,2009,6
18.0,78725,2009,7
11.0,78725,2009,8
17.0,78725,2009,9
30.0,78725,2009,10
25.0,78725,2009,11
28.0,78725,2009,12
13.0,78725,2010,1
21.0,78725,2010,2
30.0,78725,2010,3
21.0,78725,2010,4
22.0,78725,2010,5
24.0,78725,2010,6
13.0,78725,2010,7
14.0,78725,2010,8
15.0,78725,2010,9
33.0,78725,2010,10
8.0,78725,2010,11
12.0,78725,2010,12
2.0,78725,2011,1
11.0,78725,2011,2
12.0,78725,2011,3
9.0,78725,2011,4
12.0,78725,2011,5
23.0,78725,2011,6
10.0,78725,2011,7
13.0,78725,2011,8
10.0,78725,2011,9
12.0,78725,2011,10
18.0,78725,2011,11
14.0,78725,2011,12
8.0,78725,2012,1
7.0,78725,2012,2
9.0,78725,2012,3
12.0,78725,2012,4
6.0,78725,2012,5
14.0,78725,2012,6
31.0,78725,2012,7
13.0,78725,2012,8
11.0,78725,2012,9
16.0,78725,2012,10
12.0,78725,2012,11
10.0,78725,2012,12
10.0,78725,2013,1
9.0,78725,2013,2
8.0,78725,2013,3
11.0,78725,2013,4
2.0,78725,2013,5
7.0,78725,2013,6
6.0,78725,2013,7
9.0,78725,2013,8
13.0,78725,2013,9
9.0,78725,2013,10
19.0,78725,2013,11
17.0,78725,2013,12
11.0,78725,2014,1
10.0,78725,2014,2
12.0,78725,2014,3
15.0,78725,2014,4
19.0,78725,2014,5
9.0,78725,2014,6
20.0,78725,2014,7
11.0,78725,2014,8
17.0,78725,2014,9
17.0,78725,2014,10
22.0,78725,2014,11
22.0,78725,2014,12
5.0,78725,2015,1
12.0,78725,2015,2
18.0,78725,2015,3
18.0,78725,2015,4
9.0,78725,2015,5
7.0,78725,2015,6
13.0,78725,2015,7
13.0,78725,2015,8
11.0,78725,2015,9
12.0,78725,2015,10
8.0,78725,2015,11
13.0,78725,2015,12
4.0,78725,2016,1
8.0,78725,2016,2
15.0,78725,2016,3
11.0,78725,2016,4
5.0,78725,2016,5
2.0,78725,2016,6
12.0,78726,2008,6
10.0,78726,2008,7
11.0,78726,2008,8
7.0,78726,2008,9
8.0,78726,2008,10
4.0,78726,2008,11
3.0,78726,2008,12
5.0,78726,2009,2
7.0,78726,2009,3
8.0,78726,2009,4
12.0,78726,2009,5
11.0,78726,2009,6
10.0,78726,2009,7
9.0,78726,2009,8
6.0,78726,2009,9
4.0,78726,2009,10
8.0,78726,2009,11
5.0,78726,2009,12
4.0,78726,2010,2
4.0,78726,2010,3
11.0,78726,2010,4
7.0,78726,2010,5
10.0,78726,2010,6
7.0,78726,2010,7
5.0,78726,2010,8
5.0,78726,2010,9
4.0,78726,2010,10
9.0,78726,2010,11
65.0,78726,2010,12
3.0,78726,2011,1
5.0,78726,2011,2
5.0,78726,2011,3
8.0,78726,2011,4
12.0,78726,2011,5
15.0,78726,2011,6
12.0,78726,2011,7
20.0,78726,2011,8
8.0,78726,2011,9
13.0,78726,2011,10
8.0,78726,2011,11
12.0,78726,2011,12
13.0,78726,2012,1
5.0,78726,2012,2
9.0,78726,2012,3
26.0,78726,2012,4
15.0,78726,2012,5
13.0,78726,2012,6
18.0,78726,2012,7
60.0,78726,2012,8
12.0,78726,2012,9
10.0,78726,2012,10
11.0,78726,2012,11
6.0,78726,2012,12
3.0,78726,2013,1
5.0,78726,2013,2
11.0,78726,2013,3
2.0,78726,2013,4
