Median Price of Reduction,Zip Code,Year,Month
2.2029103648388,78726,2015,7
1.5625,78726,2015,8
2.3248316377704,78726,2015,9
3.765690376569,78726,2015,10
1.9187081189823,78726,2015,11
2.3359288097887,78726,2015,12
2.6322716504343,78726,2016,1
2.5862845814184,78726,2016,2
2.7256814203551,78726,2016,3
1.8871485185884,78726,2016,4
2.3258958755916,78726,2016,5
2.3538878915009,78726,2016,6
2.0835594139989,78726,2016,7
2.8625919753569,78726,2016,8
1.219457261568,78726,2016,9
1.5492957746479,78726,2016,10
2.7298850574713,78726,2016,11
1.6835016835017,78726,2016,12
1.9607843137255,78726,2017,1
1.5456549392408,78726,2017,2
1.9350407204799,78726,2017,3
2.0290958114247,78726,2017,4
2.0749627263046,78726,2017,5
2.1281123643328,78726,2017,6
1.7949314882211,78726,2017,7
1.869322152341,78726,2017,8
1.8671009872919,78726,2017,9
2.6007852805552,78726,2017,10
2.1175943052519,78726,2017,11
1.2948220064725,78726,2017,12
1.857755632125,78726,2018,1
1.2631578947368,78726,2018,2
1.874963460366,78726,2018,3
1.9176312326686,78726,2018,4
3.3224176403615,78727,2010,9
2.8016009148085,78727,2010,10
2.7929419223048,78727,2010,11
2.3720044273984,78727,2010,12
2.8587764436821,78727,2011,1
2.72880085206,78727,2011,2
2.8587764436821,78727,2011,3
2.3791982785394,78727,2011,4
2.440214738897,78727,2011,5
2.5654181631606,78727,2011,6
2.014,78727,2011,7
2.8065409904114,78727,2011,8
2.3289285531298,78727,2011,9
2.7947936272465,78727,2011,10
2.0024028834601,78727,2011,11
2.6935456212323,78727,2011,12
2.8822055137845,78727,2012,1
3.3995472552349,78727,2012,2
3.4375,78727,2012,3
2.2049203907296,78727,2012,4
2.2276144557024,78727,2012,5
2.0947324543121,78727,2012,6
1.5682349015682,78727,2012,7
2.2025611309344,78727,2012,8
2.0979020979021,78727,2012,9
2.3270893690182,78727,2012,10
4.0842017507295,78727,2012,11
5.0407134548274,78727,2012,12
3.0624744793793,78727,2013,1
2.3866348448687,78727,2013,2
2.3763303533418,78727,2013,3
3.0037546933667,78727,2013,4
2.1129645123057,78727,2013,5
2.0008003201281,78727,2013,6
2.3658817255606,78727,2013,7
2.3266635644486,78727,2013,8
1.964383332583,78727,2013,9
1.5094844577561,78727,2013,10
1.6437768240343,78727,2013,11
1.9238168526356,78727,2013,12
1.4598540145985,78727,2014,1
2.6666666666667,78727,2014,2
1.2724879333041,78727,2014,3
2.0982517482517,78727,2014,4
0.71428826531523,78727,2014,5
5.3571428571429,78727,2014,6
2.3875593290178,78727,2014,7
3.7545062868197,78727,2014,8
2.2232103156959,78727,2014,9
2.5296835806955,78727,2014,10
3.421052631579,78727,2014,11
1.9904761904762,78727,2014,12
2.7585677234694,78727,2015,1
5.0,78727,2015,2
1.5793629902606,78727,2015,3
1.4508506105145,78727,2015,4
2.0416496529196,78727,2015,5
2.4432809773124,78727,2015,6
2.4932249322493,78727,2015,7
2.378730386627,78727,2015,8
3.3898305084746,78727,2015,9
2.8407588974599,78727,2015,10
3.3029197080292,78727,2015,11
1.6274017672123,78727,2015,12
2.8320238095238,78727,2016,1
1.779013143719,78727,2016,2
1.7863522686674,78727,2016,3
2.3073977174017,78727,2016,4
3.2268473701194,78727,2016,5
3.4408602150538,78727,2016,6
1.695489996609,78727,2016,7
2.2321428571429,78727,2016,8
2.4604604604605,78727,2016,9
2.5049530687945,78727,2016,10
3.0395136778115,78727,2016,11
3.0189155399315,78727,2016,12
7.1428571428571,78727,2017,1
4.010401040104,78727,2017,2
