Median Price Cut,Zip Code,Year,Month
15000.0,78731,2012,9
14245.0,78731,2012,10
15100.0,78731,2012,11
27500.0,78731,2012,12
14477.5,78731,2013,1
10000.0,78731,2013,2
20000.0,78731,2013,3
12000.0,78731,2013,4
25075.0,78731,2013,5
25000.0,78731,2013,6
20000.0,78731,2013,7
23750.0,78731,2013,8
17950.0,78731,2013,9
14000.0,78731,2013,10
10500.0,78731,2013,11
21500.0,78731,2013,12
29950.0,78731,2014,1
25000.0,78731,2014,2
10000.0,78731,2014,3
20000.0,78731,2014,4
47500.0,78731,2014,5
25250.0,78731,2014,6
21000.0,78731,2014,7
21000.0,78731,2014,8
17000.0,78731,2014,9
14000.0,78731,2014,10
24000.0,78731,2014,11
7500.0,78731,2014,12
14000.0,78731,2015,1
10000.0,78731,2015,2
15000.0,78731,2015,3
17500.0,78731,2015,4
15000.0,78731,2015,5
20000.0,78731,2015,6
19000.0,78731,2015,7
20000.0,78731,2015,8
10000.0,78731,2015,9
19500.0,78731,2015,10
19525.0,78731,2015,11
10010.0,78731,2015,12
24000.0,78731,2016,1
14000.0,78731,2016,2
20000.0,78731,2016,3
24995.0,78731,2016,4
24999.0,78731,2016,5
22000.0,78731,2016,6
20000.0,78731,2016,7
24950.0,78731,2016,8
20000.0,78731,2016,9
15550.0,78731,2016,10
21000.0,78731,2016,11
5000.0,78731,2016,12
10050.0,78731,2017,1
14500.0,78731,2017,2
24900.0,78731,2017,3
25000.0,78731,2017,4
17500.0,78731,2017,5
15000.0,78731,2017,6
15000.0,78731,2017,7
14800.0,78731,2017,8
20000.0,78731,2017,9
16000.0,78731,2017,10
15000.0,78731,2017,11
10000.0,78731,2017,12
10000.0,78731,2018,1
5000.0,78731,2018,2
24000.0,78731,2018,3
25750.0,78731,2018,4
11450.0,78732,2010,9
19000.0,78732,2010,10
10000.0,78732,2010,11
14700.0,78732,2010,12
11600.0,78732,2011,1
10000.0,78732,2011,2
10000.0,78732,2011,3
10000.0,78732,2011,4
11000.0,78732,2011,5
10100.0,78732,2011,6
15000.0,78732,2011,7
14450.0,78732,2011,8
14900.0,78732,2011,9
10000.0,78732,2011,10
10000.0,78732,2011,11
9750.0,78732,2011,12
14956.5,78732,2012,1
10000.0,78732,2012,2
10000.0,78732,2012,3
10000.0,78732,2012,4
11550.0,78732,2012,5
10000.0,78732,2012,6
10000.0,78732,2012,7
10000.0,78732,2012,8
10000.0,78732,2012,9
10000.0,78732,2012,10
15000.0,78732,2012,11
10005.0,78732,2012,12
9000.0,78732,2013,1
10000.0,78732,2013,2
10000.0,78732,2013,3
7000.0,78732,2013,4
15050.0,78732,2013,5
12749.5,78732,2013,6
14000.0,78732,2013,7
10000.0,78732,2013,8
13500.0,78732,2013,9
10500.0,78732,2013,10
10000.0,78732,2013,11
21928.5,78732,2013,12
20000.0,78732,2014,1
20000.0,78732,2014,2
10000.0,78732,2014,3
11000.0,78732,2014,4
10000.0,78732,2014,5
10000.0,78732,2014,6
10000.0,78732,2014,7
10000.0,78732,2014,8
10000.0,78732,2014,9
14000.0,78732,2014,10
11850.0,78732,2014,11
15100.0,78732,2014,12
13000.0,78732,2015,1
15000.0,78732,2015,2
20000.0,78732,2015,3
15000.0,78732,2015,4
15000.0,78732,2015,5
14950.0,78732,2015,6
10000.0,78732,2015,7
13000.0,78732,2015,8
10000.0,78732,2015,9
10100.0,78732,2015,10
19000.0,78732,2015,11
10000.0,78732,2015,12
19050.0,78732,2016,1
9745.0,78732,2016,2
14000.0,78732,2016,3
10900.0,78732,2016,4
15500.0,78732,2016,5
10100.0,78732,2016,6
11000.0,78732,2016,7
10000.0,78732,2016,8
10000.0,78732,2016,9
10900.0,78732,2016,10
14000.0,78732,2016,11
10300.0,78732,2016,12
10000.0,78732,2017,1
15000.0,78732,2017,2
10250.5,78732,2017,3
10000.0,78732,2017,4
14000.0,78732,2017,5
10000.0,78732,2017,6
10100.0,78732,2017,7
10000.0,78732,2017,8
10000.0,78732,2017,9
9100.0,78732,2017,10
10000.0,78732,2017,11
10000.0,78732,2017,12
10000.0,78732,2018,1
10000.0,78732,2018,2
13750.0,78732,2018,3
10000.0,78732,2018,4
13175.0,78734,2010,9
12000.0,78734,2010,10
14000.0,78734,2010,11
15000.0,78734,2010,12
10000.0,78734,2011,1
14897.0,78734,2011,2
12000.0,78734,2011,3
14750.0,78734,2011,4
12000.0,78734,2011,5
10000.0,78734,2011,6
10000.0,78734,2011,7
10000.0,78734,2011,8
10000.0,78734,2011,9
9625.0,78734,2011,10
7000.0,78734,2011,11
5950.0,78734,2011,12
5875.0,78734,2012,1
10000.0,78734,2012,2
10000.0,78734,2012,3
10100.0,78734,2012,4
10000.0,78734,2012,5
11000.0,78734,2012,6
10000.0,78734,2012,7
10000.0,78734,2012,8
10000.0,78734,2012,9
10000.0,78734,2012,10
10000.0,78734,2012,11
14000.0,78734,2012,12
7450.0,78734,2013,1
19901.0,78734,2013,2
14000.0,78734,2013,3
13200.0,78734,2013,4
10050.0,78734,2013,5
14000.0,78734,2013,6
10050.0,78734,2013,7
10950.0,78734,2013,8
10500.0,78734,2013,9
15000.0,78734,2013,10
9750.0,78734,2013,11
14550.0,78734,2013,12
10099.0,78734,2014,1
10000.0,78734,2014,2
9999.5,78734,2014,3
10000.0,78734,2014,4
10000.0,78734,2014,5
14700.0,78734,2014,6
10100.0,78734,2014,7
14900.0,78734,2014,8
14000.0,78734,2014,9
10000.0,78734,2014,10
10500.0,78734,2014,11
9550.0,78734,2014,12
11600.0,78734,2015,1
10000.0,78734,2015,2
15100.0,78734,2015,3
10950.0,78734,2015,4
11000.0,78734,2015,5
13500.0,78734,2015,6
10100.0,78734,2015,7
13045.0,78734,2015,8
10000.0,78734,2015,9
20000.0,78734,2015,10
10000.0,78734,2015,11
10000.0,78734,2015,12
10000.0,78734,2016,1
16300.0,78734,2016,2
15000.0,78734,2016,3
14500.0,78734,2016,4
10950.0,78734,2016,5
14000.0,78734,2016,6
13300.0,78734,2016,7
10000.0,78734,2016,8
12500.0,78734,2016,9
15000.0,78734,2016,10
10050.0,78734,2016,11
10000.0,78734,2016,12
15000.0,78734,2017,1
12000.0,78734,2017,2
9750.0,78734,2017,3
11000.0,78734,2017,4
14000.0,78734,2017,5
10000.0,78734,2017,6
14000.0,78734,2017,7
10000.0,78734,2017,8
10000.0,78734,2017,9
10000.0,78734,2017,10
10000.0,78734,2017,11
7450.0,78734,2017,12
10000.0,78734,2018,1
10000.0,78734,2018,2
9000.0,78734,2018,3
10000.0,78734,2018,4
5500.0,78737,2010,9
10000.0,78737,2010,10
11500.0,78737,2010,11
19900.0,78737,2010,12
11873.0,78737,2011,1
19995.0,78737,2011,2
11125.0,78737,2011,3
10000.0,78737,2011,4
10000.0,78737,2011,5
14000.0,78737,2011,6
10000.0,78737,2011,7
10000.0,78737,2011,8
10000.0,78737,2011,9
10000.0,78737,2011,10
9500.0,78737,2011,11
12000.0,78737,2011,12
10000.0,78737,2012,1
10000.0,78737,2012,2
10000.0,78737,2012,3
10000.0,78737,2012,4
5000.0,78737,2012,5
10000.0,78737,2012,6
10000.0,78737,2012,7
9500.0,78737,2012,8
5500.0,78737,2012,9
7700.0,78737,2012,10
5000.0,78737,2012,11
5000.0,78737,2012,12
3664.0,78737,2013,1
10500.0,78737,2013,2
12050.5,78737,2013,3
9500.0,78737,2013,4
10000.0,78737,2013,5
5225.0,78737,2013,6
10000.0,78737,2013,7
6000.0,78737,2013,8
7219.0,78737,2013,9
10100.0,78737,2013,10
9100.0,78737,2013,11
5000.0,78737,2013,12
6250.0,78737,2014,1
11456.0,78737,2014,2
15000.0,78737,2014,3
